itemNumber,title,author,description,yearPublished,retailCost
101,Deliciously Wicked,Myranda Brimman,Expanded human-resource orchestration,4/1/1989,$11.59
102,The Suitcase Kid,Trudi Bolderoe,Compatible logistical throughput,5/24/1997,$46.21
103,The Alchemist - 10th Anniversary Edition,Dionis Jack,Down-sized needs-based installation,8/23/1969,$11.74
104,Delicate Doom,Tamma Jeness,Monitored web-enabled knowledge user,3/21/1976,$36.12
105,The Children Act,Leone Allwood,Synchronised uniform function,1/3/2016,$19.67
106,The Death of Money,Keith Tomaszek,Polarised 24/7 moderator,5/20/1951,$20.50
107,Daughter in the Tale,Anthony Carncross,Open-source even-keeled service-desk,11/6/1987,$12.01
108,The Cemetery On the Eternal Suicide,Wenda Stratz,Diverse intermediate hub,7/16/2015,$50.82
109,Second Carnival,Bastien Hurworth,Total upward-trending superstructure,10/19/1968,$31.02
110,The Big Book On Personality Typing,Sutherlan Merill,Enterprise-wide radical superstructure,11/24/2007,$29.72
111,Bronson,Stevena Phoebe,Progressive 4th generation capability,1/2/2009,$39.58
112,Head To Head,Lorettalorna Ling,Ergonomic full-range circuit,11/6/2011,$44.69
113,Bloodlines,Gina Keymer,Phased cohesive help-desk,9/3/2014,$26.95
114,The Return of the Emperor,Quent Milnes,User-friendly well-modulated capacity,9/4/1984,$22.45
115,A Muddy Wings Beyond Paradox,Templeton Dake,Grass-roots 24/7 migration,2/10/1976,$10.61
116,The Mars the Dream Hung,Lela Fooks,Versatile bandwidth-monitored workforce,1/3/2010,$5.17
117,A Taste of Desire,Denney Pheazey,Enhanced attitude-oriented knowledge user,12/29/1962,$16.48
118,The Singing Neanderthals,Juline Wyldes,Optional eco-centric hierarchy,5/19/1998,$47.27
119,Marine for Hire (A Front and Center Novel),Gretta Offen,Seamless bifurcated data-warehouse,2/19/1973,$32.15
120,The Way of the Dragon,Vickie Azam,Decentralized transitional framework,1/20/1953,$52.12
121,Dilbert - A Treasury Of Sunday Strips: Version 00: A Dilbert Book,Forrest Aitken,Fundamental analyzing complexity,11/11/2016,$24.58
122,The Aliens within,Dedra Primmer,Monitored executive implementation,9/6/2007,$33.39
123,The Tree's Childhood,Darci Churchill,Fundamental methodical superstructure,11/3/1991,$39.76
124,The Reply of Delicate Hours,Cherice Stolze,Realigned coherent policy,5/7/1969,$32.22
125,The Story of Tracy Beaker,Bogey Robley,Innovative incremental task-force,11/21/1982,$16.12
126,A Pizza To Die For,Margalo Lashbrook,Organic systematic synergy,1/2/2012,$11.16
127,A Compendium of Age,Maureene McConville,Synergized 4th generation synergy,11/30/2003,$17.32
128,The Naked Gentleman,Kittie Rolf,Universal mission-critical groupware,3/1/1998,$7.93
129,Hairy Beard At Unrequited Africa,Garret Lynett,Balanced global time-frame,9/17/1971,$25.71
130,The Death Penalty in America,Celinda Westwick,Cloned hybrid collaboration,3/25/1991,$45.05
131,Wings of Fire Book Six: Moon Rising,Nicolais Birds,Profit-focused analyzing frame,1/25/1952,$49.62
132,Chain Chains Devils,Lalo Streeten,Face to face mission-critical application,8/19/1967,$5.94
133,Crossing the Shadow,Leia Button,Programmable object-oriented toolset,12/25/1994,$37.15
134,The Innovator's Dilemma,Larissa Kubis,Advanced dynamic throughput,8/21/1953,$37.02
135,Killing Spree,Margit Calder,Ergonomic 4th generation methodology,10/30/1977,$25.51
136,Back in the Game,Elka Larway,Front-line bifurcated focus group,2/1/2018,$44.95
137,THE LOGIC OF COLLECTIVE ACTION,Germana Foale,Seamless uniform algorithm,10/26/1992,$49.12
138,End of Days,Louis Halliberton,Self-enabling 24 hour matrices,8/14/2015,$15.62
139,Gentleman of Watcher,Damon Napton,Assimilated neutral strategy,6/12/1992,$53.60
140,One Day in the Life of Ivan Denisovich,Keefer Mawd,Enterprise-wide methodical internet solution,2/27/1967,$20.60
141,Community and Organization in the New Left,Darryl Sergeant,Reactive directional encryption,8/26/1969,$47.01
142,Best Man for Hire (Entangled Lovestruck),Gratia Howley,Centralized bi-directional structure,5/28/1966,$7.46
143,Like a Mighty Army,Bord Tayloe,Seamless next generation help-desk,5/24/1998,$21.70
144,The Redbreast,Shayla Mowsdell,Distributed executive concept,5/6/2009,$5.30
145,Built Dracula,Sidonia Gerald,Up-sized global process improvement,12/7/1960,$14.87
146,The Concept of the Political,Faustina Craigmile,Customizable asynchronous moratorium,12/7/1978,$53.54
147,The Death Penalty in America,Liza Warder,User-friendly neutral access,12/30/2001,$30.67
148,Seductive Starts (An Enhanced Box Set),Shellie Mayston,Configurable foreground flexibility,2/9/2006,$8.49
149,Revenge of the Damned,Nolana Pettersen,Fully-configurable 4th generation open architecture,10/15/1983,$42.08
150,Wings of Fire Book Six: Moon Rising,Batholomew Sinclaire,Down-sized multimedia matrices,7/23/2012,$19.05
151,Ender's Game,Duane Janew,Optional well-modulated standardization,6/28/1967,$53.89
152,Killer in Undead Magic,Onida Agnolo,Secured methodical flexibility,6/17/2012,$19.47
153,Quinn,Stefano Bittlestone,Polarised actuating solution,3/1/2013,$29.16
154,Pompeii,Giordano Helsdon,Assimilated methodical help-desk,2/7/1960,$51.75
155,Out of the Guardian,Valentijn Tinsley,Enhanced static success,4/25/2000,$12.55
156,PatchGuard,Stephan Rihanek,Robust 24 hour website,10/6/1998,$48.36
157,A Poisoned Constantine Without Blogger,Lyn Rosengart,Profound radical middleware,2/26/1993,$18.63
158,Magic Lies Farm House,Tedie Quinnell,Public-key systemic service-desk,7/26/1958,$11.02
159,How to Be a Proper Lady,Rance Dixie,Multi-lateral motivating info-mediaries,12/5/1956,$46.96
160,You Can Get Your Love Back: Proven Ways to Stop Break Up and Win Back the Love of Your Life,Amata Hughson,Ameliorated needs-based focus group,6/11/1968,$48.93
161,Thing in Damned Alexander,Jase Larenson,Decentralized tertiary open system,5/15/1961,$21.65
162,The Zero Dog War,Talyah Kedwell,Implemented fault-tolerant capacity,2/14/2007,$8.49
163,Mount: A Mountain Man's Adventures,Rozanna Garlant,Universal context-sensitive capability,9/14/2000,$36.55
164,Land of the Living,Celestia Geach,Balanced optimizing matrix,9/10/2008,$13.32
165,The Hunger Games,Herschel Iacopo,Streamlined empowering hardware,3/11/1993,$11.37
166,FaceHieroglyph,Barbabas Borthram,Versatile bi-directional challenge,8/18/1960,$24.19
167,Trail of the Mountain Man,Georgena Karys,Centralized didactic local area network,3/11/1993,$20.19
168,Emperor Under Destroying Crown,Filberto Gandley,Multi-lateral impactful standardization,5/19/2007,$13.63
169,The Witchcraft Sourcebook,Nicol Gunderson,Universal intermediate adapter,4/18/2009,$16.26
170,The Garden the Trade Chained,Bevan Gillbe,Optimized tangible focus group,6/22/1998,$30.82
171,Edible Minutes At Haunting Cape,Thorin Lardier,Pre-emptive analyzing groupware,5/29/1986,$8.77
172,Uncommon Steam of Days,Brigitta Ewens,Vision-oriented tangible forecast,4/29/1966,$24.01
173,The Screaming Room,Veriee Kindall,Up-sized real-time benchmark,3/20/2011,$49.82
174,Urban Power,Mirabel Whistlecraft,Multi-lateral next generation support,9/25/1961,$26.31
175,The Loner: The Blood of Renegades,Leyla Zorzetti,Cross-group intangible focus group,5/20/1957,$51.64
176,The Haunting Unrequited Demon,Cole Lapworth,Monitored systemic moderator,3/4/1992,$50.34
177,The Mystery At the English Priestess,Regan Behne,Enhanced impactful process improvement,1/12/1993,$25.03
178,Scandalous Lord Dere,Yevette Bednall,Secured optimizing neural-net,3/4/1961,$54.28
179,Silent Victim,Brigitte Minico,Innovative 6th generation contingency,8/14/2002,$38.13
180,Phantom's Priestess,Joaquin Cecely,Multi-lateral modular orchestration,7/7/2011,$47.53
181,The She Wrath,Kimbra Hannum,Polarised intangible groupware,12/24/1954,$27.13
